id,parent_id,name
1,NULL,レディース
2,NULL,メンズ
3,NULL,ベビー・キッズ
4,NULL,インテリア・住まい・小物
5,NULL,本・音楽・ゲーム
6,NULL,おもちゃ・ホビー・グッズ
7,NULL,コスメ・香水・美容
8,NULL,家電・スマホ・カメラ
9,NULL,スポーツ・レジャー
10,NULL,ハンドメイド
11,NULL,チケット
12,NULL,自動車・オートバイ
13,NULL,その他
14,1,トップス
15,1,ジャケット/アウター
16,1,パンツ
17,1,スカート
18,1,ワンピース
19,1,靴
20,1,ルームウェア/パジャマ
21,1,レッグウェア
22,1,帽子
23,1,バッグ
24,1,アクセサリー
25,1,ヘアアクセサリー
26,1,小物
27,1,時計
28,1,ウィッグ/エクステ
29,1,浴衣/水着
30,1,スーツ/フォーマル/ドレス
31,1,マタニティ
32,1,その他
33,2,トップス
34,2,ジャケット/アウター
35,2,パンツ
36,2,靴
37,2,バッグ
38,2,スーツ
39,2,帽子
40,2,アクセサリー
41,2,小物
42,2,時計
43,2,水着
44,2,レッグウェア
45,2,アンダーウェア
46,2,その他
47,3,ベビー服(女の子用)~95cm
48,3,ベビー服(男の子用)~95cm
49,3,ベビー服(男女兼用)~95cm
50,3,キッズ服(女の子用)100cm~
51,3,キッズ服(男の子用)100cm~
52,3,キッズ服(男女兼用)100cm~
53,3,キッズ靴
54,3,子ども用ファッション小物
55,3,おむつ/トイレ/バス
56,3,外出/移動用品
57,3,授乳/食事
58,3,ベビー家具/家具/室内用品
59,3,おもちゃ
60,3,行事/記念品
61,3,その他
62,4,キッチン/食器
63,4,ベッド/マットレス
64,4,ソファ/ソファベッド
65,4,椅子/チェア
66,4,机/テーブル
67,4,収納家具
68,4,ラグ/カーペット/マット
